collection_name	dataset_id	n_cells	n_donors	n_cell_types	assays	tissues	diseases	sexes	age_terms	suspension_types	collection_id	dataset_total_cell_count	dataset_h5ad_path
Exploring cellular changes in ruptured human quadriceps tendons at single-cell resolution	acd544d0-4d8b-46c7-98b3-fc48f7e6fdb7	12808	6	22	10x 3' v3	tendon of quadriceps femoris	injury, normal	male	25yo-75yo, 25-year-old stage (1423), 29-year-old stage (1014), 44-year-old stage (4831), 67-year-old stage (3679), 69-year-old stage (1200), 75-year-old stage (661)	nucleus	579203e2-182f-47bc-8230-7aa47247e2a4	12808	acd544d0-4d8b-46c7-98b3-fc48f7e6fdb7.h5ad
A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics	019c7af2-c827-4454-9970-44d5e39ce068	12590	3	17	10x 3' v3	ascending colon, descending colon, duodenum, ileum, jejunum, transverse colon	normal	male	29yo-53yo, 29-year-old stage (4330), 45-year-old stage (4465), 53-year-old stage (3795)	cell	64b24fda-6591-4ce1-89e7-33eb6c43ad7b	12590	019c7af2-c827-4454-9970-44d5e39ce068.h5ad
Human Brain Cell Atlas v1.0	22658f4f-9268-41ad-8828-cc53f4baa9fa	12557	1	11	10x 3' v3	hypothalamus	normal	male	50yo-50yo, 50-year-old stage (12557)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	12557	22658f4f-9268-41ad-8828-cc53f4baa9fa.h5ad
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer	576f193c-75d0-4a11-bd25-8676587e6dc2	12315	4	10	10x 3' v2	lung	normal	male & female	70yo-82yo, 70-year-old stage (2454), 74-year-old stage (2979), 79-year-old stage (3829), 82-year-old stage (3053)	cell	62e8f058-9c37-48bc-9200-e767f318a8ec	147137	576f193c-75d0-4a11-bd25-8676587e6dc2.h5ad
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver	76af615b-12fe-4ebb-b8c6-239ad29e26e3	11982	23	6	10x 3' v2, 10x 5' v1	caudate lobe of liver	normal	male & female	18yo-20yo, late adult stage (1385), prime adult stage (6327), young adult stage (4270)	cell	0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	13635	76af615b-12fe-4ebb-b8c6-239ad29e26e3.h5ad
Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer	5af90777-6760-4003-9dba-8f945fec6fdf	11838	9	43	10x 5' transcription profiling	kidney	normal	male & female	40yo-70yo, fifth decade stage (569), sixth decade stage (6092), seventh decade stage (296), eighth decade stage (4881)	cell	f7cecffa-00b4-4560-a29a-8ad626b8ee08	270855	5af90777-6760-4003-9dba-8f945fec6fdf.h5ad
Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease	8e47ed12-c658-4252-b126-381df8d52a3d	11302	8	31	10x 3' v2	ileum	normal	male & female	4yo-12yo, 4-year-old stage (4682), 6-year-old stage (1911), 9-year-old stage (1254), 10-year-old stage (2390), 12-year-old stage (1065)	cell	17481d16-ee44-49e5-bcf0-28c0780d8c4a	22502	8e47ed12-c658-4252-b126-381df8d52a3d.h5ad
HVS: Human variation study	31285bcd-9a28-48ce-8cc0-543af80261d3	11244	78	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (11244)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	11244	31285bcd-9a28-48ce-8cc0-543af80261d3.h5ad
Stress-induced RNA–chromatin interactions promote endothelial dysfunction	42b6a476-c51d-4f8b-b68b-44941b3a11bf	11243	4	2	10x 3' v3	mesenteric artery	normal, type 2 diabetes mellitus	male & female	28yo-59yo, 28-year-old stage (1555), 42-year-old stage (3840), 46-year-old stage (3913), 59-year-old stage (1935)	cell	db468083-041c-41ca-8f6f-bf991a070adf	11243	42b6a476-c51d-4f8b-b68b-44941b3a11bf.h5ad
Single-nucleus transcriptome analysis reveals cell-type-specific molecular signatures across reward circuitry in the human brain	07dd8c34-4625-480a-8ee4-273a06c3082b	11202	3	10	10x 3' v3	dorsolateral prefrontal cortex	normal	male	51yo-61yo, 51-year-old stage (1693), 54-year-old stage (4215), 61-year-old stage (5294)	nucleus	22ccff12-9a18-4b01-ba10-302df57a01f8	11202	07dd8c34-4625-480a-8ee4-273a06c3082b.h5ad
Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease	01209dce-3575-4bed-b1df-129f57fbc031	11059	2	6	10x 3' v2	lower lobe of left lung	normal	male	52yo-65yo, 52-year-old stage (7125), 65-year-old stage (3934)	cell	24d42e5e-ce6d-45ff-a66b-a3b3b715deaf	51876	01209dce-3575-4bed-b1df-129f57fbc031.h5ad
Automatic cell-type harmonization and integration across Human Cell Atlas datasets	1d89d081-f43d-401a-be76-bd6ef9259f4e	10352	9	18	CEL-seq2	liver	normal	male & female	34yo-77yo, 34-year-old stage (400), 45-year-old stage (1446), 52-year-old stage (1113), 55-year-old stage (1702), 64-year-old stage (66), 65-year-old stage (1523), 69-year-old stage (1254), 70-year-old stage (242), 77-year-old stage (2606)	cell	854c0855-23ad-4362-8b77-6b1639e7a9fc	259678	1d89d081-f43d-401a-be76-bd6ef9259f4e.h5ad
Human Brain Cell Atlas v1.0	00476f9f-ebc1-4b72-b541-32f912ce36ea	10099	1	11	10x 3' v3	hypothalamus	normal	male	42yo-42yo, 42-year-old stage (10099)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	10099	00476f9f-ebc1-4b72-b541-32f912ce36ea.h5ad
Identification of distinct tumor cell populations and key genetic mechanisms through single cell sequencing in hepatoblastoma	ec6ceff8-c8bc-488d-b6bf-30df2fa92169	9665	2	8	10x 3' v3	liver	normal	unknown	unknown, unknown (9665)	nucleus	a261413d-835b-4f1e-ab0c-dada55ea6afd	67110	ec6ceff8-c8bc-488d-b6bf-30df2fa92169.h5ad
A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease	781cc817-3fd0-487c-a55a-b47b2786a05d	9619	5	5	10x 5' v1	lung	normal	unknown	unknown, unknown (9619)	cell	92db8a7e-8761-4317-873f-15606c016ce5	9619	781cc817-3fd0-487c-a55a-b47b2786a05d.h5ad
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver	b550fd94-97e0-42e2-90f7-7434781ea2f8	9515	23	7	10x 3' v2, 10x 5' v1	caudate lobe of liver	normal	male & female	18yo-20yo, late adult stage (1109), prime adult stage (6044), young adult stage (2362)	cell	0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	11127	b550fd94-97e0-42e2-90f7-7434781ea2f8.h5ad
A molecular cell atlas of the human lung from single cell RNA sequencing	e04daea4-4412-45b5-989e-76a9be070a89	8657	3	39	Smart-seq2	lung	normal	male & female	46yo-75yo, 46-year-old stage (3273), 51-year-old stage (2149), 75-year-old stage (3235)	cell	5d445965-6f1a-4b68-ba3a-b8f765155d3a	9409	e04daea4-4412-45b5-989e-76a9be070a89.h5ad
Early human lung immune cell development and its role in epithelial cell fate	8dc858b0-b076-4326-94bb-7c2d1cd721a3	8556	1	4	10x 5' transcription profiling	lung	normal	unknown	unknown, unknown (8556)	cell	ec329aed-22bc-4d6e-8935-8282dcb1acac	8556	8dc858b0-b076-4326-94bb-7c2d1cd721a3.h5ad
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver	4ce8d8ec-b94c-4b79-afcb-b094336d8a78	8219	23	6	10x 3' v2, 10x 5' v1	caudate lobe of liver	normal	male & female	18yo-20yo, late adult stage (831), prime adult stage (4675), young adult stage (2713)	cell	0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	9422	4ce8d8ec-b94c-4b79-afcb-b094336d8a78.h5ad
HVS: Human variation study	a30db232-08a6-48f0-ab9f-ad6977b8a6b1	8213	77	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (8213)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	8213	a30db232-08a6-48f0-ab9f-ad6977b8a6b1.h5ad
HVS: Human variation study	d5a2d011-3765-4dad-ac36-3fff087589fe	8093	78	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (8093)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	8093	d5a2d011-3765-4dad-ac36-3fff087589fe.h5ad
Multimodal benchmarking dataset for renal cortex characterization (mBDRC)	60a29d0b-1a37-4447-ac32-00d701580b47	7813	4	35	10x 5' v1	cortex of kidney	normal	male & female	53yo-79yo, 53-year-old stage (2383), 68-year-old stage (2376), 72-year-old stage (891), 79-year-old stage (2163)	cell	4cbb929b-b03b-4aa8-a943-00f61dc22641	97125	60a29d0b-1a37-4447-ac32-00d701580b47.h5ad
HVS: Human variation study	171b03c9-516b-499c-a434-fa4f70191988	7156	78	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (7156)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	7156	171b03c9-516b-499c-a434-fa4f70191988.h5ad
Single nuclei RNA- sequencing from the white matter of individuals with progressive MS and non-neurological controls	dc30c3ec-46d6-4cd8-8ec1-b544a3d0f503	6591	5	10	10x 3' v2	brain, brain white matter	normal	male & female	35yo-82yo, 35-year-old stage (991), 49-year-old stage (1361), 60-year-old stage (957), 64-year-old stage (1253), 82-year-old stage (2029)	cell	16c1e722-96ae-4bf6-b408-cd7f8918484f	17799	dc30c3ec-46d6-4cd8-8ec1-b544a3d0f503.h5ad
HVS: Human variation study	0de831e0-a525-4ec5-b717-df56f2de2bf0	6133	78	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (6133)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	6133	0de831e0-a525-4ec5-b717-df56f2de2bf0.h5ad
Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response	f801b7a9-80a6-4d09-9161-71474deb58ae	6044	5	21	10x 3' v2	kidney	normal	male & female	65yo-76yo, 65-year-old stage (1526), 69-year-old stage (673), 70-year-old stage (724), 74-year-old stage (1626), 76-year-old stage (1495)	cell	1df8c90d-d299-4b2e-a54d-a5a80f36e780	6044	f801b7a9-80a6-4d09-9161-71474deb58ae.h5ad
Transcriptomic Analysis of Air-Liquid Interface Culture in Human Lung Organoids Reveals Regulators of Epithelial Differentiation	ef1a4b05-540c-4f73-8ceb-49dfa800645d	5594	2	3	10x 3' v3	lung	normal	unknown	18yo-45yo, late adult stage (3331), middle aged stage (2263)	cell	e9cf4e8d-05ed-4d95-b550-af35ca219390	5594	ef1a4b05-540c-4f73-8ceb-49dfa800645d.h5ad
HVS: Human variation study	0087cde2-967d-4f7c-8e6e-40e4c9ad1891	5399	78	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (5399)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	5399	0087cde2-967d-4f7c-8e6e-40e4c9ad1891.h5ad
Charting human development using a multi-endodermal organ atlas and organoid models	ee195b7d-184d-4dfa-9b1c-51a7e601ac11	5200	2	10	10x 3' v2	duodenum	normal	male & female	45yo-50yo, 45-year-old stage (2689), 50-year-old stage (2511)	cell	dfc09a93-bce0-4c77-893d-e153d1b7f9fa	5200	ee195b7d-184d-4dfa-9b1c-51a7e601ac11.h5ad
Dysregulation of brain and choroid plexus cell types in severe COVID-19	2f05ab20-a092-4bab-9276-3e0eb24e3fee	4863	3	13	10x 3' v3	medial orbital frontal cortex	cardiomyopathy, chronic obstructive pulmonary disease, myocardial infarction	male	58yo-82yo, 58-year-old stage (1285), 63-year-old stage (2055), 82-year-old stage (1523)	nucleus	59c9ecfe-c47d-4a6a-bab0-895cc0c1942b	38217	2f05ab20-a092-4bab-9276-3e0eb24e3fee.h5ad
Human Brain Cell Atlas v1.0	470565f2-5afc-456a-b617-18e4496c04fd	4714	1	11	10x 3' v3	midbrain	normal	male	29yo-29yo, 29-year-old stage (4714)	nucleus	283d65eb-dd53-496d-adb7-7570c7caa443	4714	470565f2-5afc-456a-b617-18e4496c04fd.h5ad
HVS: Human variation study	e2a325e2-5633-4950-ae46-ebff70979e3b	4683	78	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (4683)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	4683	e2a325e2-5633-4950-ae46-ebff70979e3b.h5ad
HVS: Human variation study	390b376d-8857-4b4b-991f-0d7326938172	4112	77	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (4112)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	4112	390b376d-8857-4b4b-991f-0d7326938172.h5ad
HVS: Human variation study	b6e502d7-0d07-408e-a291-91b63af0a40a	3934	61	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (3934)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	3934	b6e502d7-0d07-408e-a291-91b63af0a40a.h5ad
HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps	6a270451-b4d9-43e0-aa89-e33aac1ac74b	3237	38	7	TruDrop	ascending colon, descending colon, hepatic flexure of colon, rectum, sigmoid colon, transverse colon	normal	male & female	40yo-74yo, 40-year-old stage (17), 46-year-old stage (140), 50-year-old stage (154), 51-year-old stage (23), 52-year-old stage (921), 54-year-old stage (183), 56-year-old stage (30), 57-year-old stage (150), 58-year-old stage (362), 59-year-old stage (170), 62-year-old stage (116), 63-year-old stage (99), 64-year-old stage (87), 65-year-old stage (12), 66-year-old stage (199), 67-year-old stage (26), 68-year-old stage (27), 70-year-old stage (147), 71-year-old stage (12), 72-year-old stage (20), 73-year-old stage (278), 74-year-old stage (64)	cell	a48f5033-3438-4550-8574-cdff3263fdfd	10696	6a270451-b4d9-43e0-aa89-e33aac1ac74b.h5ad
Single-Cell Analysis of Human Pancreas Reveals Transcriptional Signatures of Aging and Somatic Mutation Patterns	66d15835-5dc8-4e96-b0eb-f48971cb65e8	2544	8	7	Smart-seq2	islet of Langerhans	normal	male & female	1mo-54yo, 1-month-old stage (221), 5-year-old stage (331), 6-year-old stage (178), 21-year-old stage (505), 22-year-old stage (286), 38-year-old stage (474), 44-year-old stage (277), 54-year-old stage (272)	cell	a238e9fa-2bdf-41df-8522-69046f99baff	2544	66d15835-5dc8-4e96-b0eb-f48971cb65e8.h5ad
Muraro Pancreas	b07e5164-baf6-43d2-bdba-5a249d0da879	2126	4	10	CEL-seq2	pancreas	normal	male & female	23yo-59yo, 23-year-old stage (574), 48-year-old stage (687), 54-year-old stage (182), 59-year-old stage (683)	cell	6e8c5415-302c-492a-a5f9-f29c57ff18fb	2126	b07e5164-baf6-43d2-bdba-5a249d0da879.h5ad
HVS: Human variation study	6929d6d1-6f81-44d7-bd35-5a580259af81	1875	78	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (1875)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	1875	6929d6d1-6f81-44d7-bd35-5a580259af81.h5ad
HVS: Human variation study	78f40dd6-ed22-470d-8547-6fb5746c25da	1465	77	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (1465)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	1465	78f40dd6-ed22-470d-8547-6fb5746c25da.h5ad
Intratumoral heterogeneity in recurrent pediatric pilocytic astrocytomas	be884a28-0eac-4eca-9c23-1294a93cf56e	1346	2	9	10x 3' v3	cerebellum	normal	female	1yo-1yo, pediatric stage (1346)	nucleus	10bf5c50-8d85-4c5f-94b4-22c1363d9f31	35637	be884a28-0eac-4eca-9c23-1294a93cf56e.h5ad
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver	e347396c-a7ff-4691-9f7a-99a43555ca18	1241	22	4	10x 3' v2, 10x 5' v1	caudate lobe of liver	normal	male & female	18yo-20yo, late adult stage (69), prime adult stage (889), young adult stage (283)	cell	0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	1417	e347396c-a7ff-4691-9f7a-99a43555ca18.h5ad
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver	4993d61c-1d04-4630-9c61-8d9431f39adc	1167	23	4	10x 3' v2, 10x 5' v1	caudate lobe of liver	normal	male & female	18yo-20yo, late adult stage (334), prime adult stage (494), young adult stage (339)	cell	0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	1250	4993d61c-1d04-4630-9c61-8d9431f39adc.h5ad
Single cell atlas of the human ocular surface	8ef06ea4-8d0f-4303-a652-7d4604402b1f	840	2	1	10x 3' v3	corneal endothelium	normal	male	22yo-75yo, 22-year-old stage (181), 75-year-old stage (659)	cell	0f7d022a-46c7-4e64-be4c-e34adbb78089	815769	8ef06ea4-8d0f-4303-a652-7d4604402b1f.h5ad
Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver	0c9a8cfb-6649-4d52-b418-6d8e56bd7afe	832	23	2	10x 3' v2, 10x 5' v1	caudate lobe of liver	normal	male & female	18yo-20yo, late adult stage (77), prime adult stage (484), young adult stage (271)	cell	0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	1011	0c9a8cfb-6649-4d52-b418-6d8e56bd7afe.h5ad
Characterizing smoking-induced transcriptional heterogeneity in the human bronchial epithelium at single-cell resolution	61d327d1-2227-4c5f-9367-e3559dc79b07	796	12	9	CEL-seq	epithelium of main bronchus	normal	male & female	24yo-51yo, 24-year-old stage (70), 25-year-old stage (133), 26-year-old stage (72), 27-year-old stage (68), 34-year-old stage (79), 35-year-old stage (65), 43-year-old stage (79), 44-year-old stage (58), 49-year-old stage (74), 50-year-old stage (60), 51-year-old stage (38)	cell	1f0f863f-b69d-4ba3-8bab-d2727dd0aecf	796	61d327d1-2227-4c5f-9367-e3559dc79b07.h5ad
HVS: Human variation study	f9cfac8d-bff6-47a2-a1f6-503827d375f5	637	59	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (637)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	637	f9cfac8d-bff6-47a2-a1f6-503827d375f5.h5ad
HVS: Human variation study	4859642c-d155-437b-adf5-83ca6c1bef67	582	57	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (582)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	582	4859642c-d155-437b-adf5-83ca6c1bef67.h5ad
HVS: Human variation study	5e7fff82-b8eb-4220-bf65-c6feb6765ea1	563	71	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (563)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	563	5e7fff82-b8eb-4220-bf65-c6feb6765ea1.h5ad
HVS: Human variation study	149b2c3f-ee11-47a7-984b-923570280bd7	301	72	1	10x 3' v3	neocortex	normal	male & female	18yo-18yo, adult stage (301)	cell	35928d1c-36fc-4f93-9a8d-0b921ab41745	301	149b2c3f-ee11-47a7-984b-923570280bd7.h5ad
